gene_name,17DPi_FPKM,18DPi_FPKM,AC_FPKM,D22_FPKM,NEW_FPKM,gene_id
Tnfaip3,3.267557484,4.612818079,1.388225658,2.256195512,0.251788195,ENSMUSG00000019850
Gm32569,0,0,0,0,0.140287263,ENSMUSG00000103659
Gm37202,0,0,0,0,0,ENSMUSG00000103655
Gm37204,0,0,0,0.0417397,0,ENSMUSG00000103657
Gm37205,0,0,0,0,0,ENSMUSG00000103656
Gm37206,0.768686231,1.378418946,3.543161708,1.69674473,1.119129673,ENSMUSG00000103651
Gm37209,0,0,0,0,0,ENSMUSG00000103652
Frrs1,3.410939244,3.303941549,0.592666441,3.276094615,0.205451867,ENSMUSG00000033386
Rtp1,0,0,0.131023605,0,0,ENSMUSG00000033383
Trappc8,12.21630492,15.01304916,13.18223971,13.35633245,14.82793652,ENSMUSG00000033382
Arhgap44,5.676148812,7.829467873,6.81025168,9.968211357,3.392555476,ENSMUSG00000033389
Gpr65,0.383768858,0,0.31919717,0,0.077983013,ENSMUSG00000021886
Hacl1,2.134042016,4.880688471,5.889712674,3.123977687,0.556107514,ENSMUSG00000021884
Rnase6,0,0,0.305053638,0,0,ENSMUSG00000021880
Mchr1,0.179710526,0.115994349,0,0.037762546,0.766626668,ENSMUSG00000050164
Egr2,1.18836684,2.08944089,0.015071166,1.264366934,0.382734674,ENSMUSG00000037868
Gm17364,0,0,0,0,0,ENSMUSG00000090853
Gm4340,0,0,0,0,0,ENSMUSG00000090854
Aim2,0,0,0.059937225,0.030302594,1.14190632,ENSMUSG00000037860
Gm37210,0,0,0,0,0,ENSMUSG00000104029
Gm37211,0,0,0,0.048159322,0,ENSMUSG00000104027
Gm37212,0,0,0,0,0,ENSMUSG00000104026
E330040D14Rik,0,0,0,0,0,ENSMUSG00000104025
Gm33571,0,0,0,0,0,ENSMUSG00000104024
Gm37213,0.134248594,0,0,0,0,ENSMUSG00000104023
Gm37214,0,0,0,0,0,ENSMUSG00000104022
Gm36536,0,0,0,0,0,ENSMUSG00000104021
Gm37215,0,0,0,0,0,ENSMUSG00000104020
Gm28542,0,0,0,0,0,ENSMUSG00000099535
Gm28938,0,0,0,0,0,ENSMUSG00000099537
Gm29644,0,0,0,0,0,ENSMUSG00000099530
Gm20869,0,0,0,0,0,ENSMUSG00000099531
Gm29098,0,0,0,0,0,ENSMUSG00000099532
Cep135,0.801932007,1.252754624,1.066283907,0.891560663,1.198348504,ENSMUSG00000036403
Gng12,33.82107062,25.16198563,30.45229716,23.55288819,4.743555155,ENSMUSG00000036402
Glt6d1,0,0,0,0,0,ENSMUSG00000036401
2310061I04Rik,3.881462322,3.897787598,3.721753807,4.064809938,3.577559725,ENSMUSG00000050705
Defb46,0,0,0,0,0,ENSMUSG00000071169
Gm6040,0,0,0,0,0,ENSMUSG00000071165
